y,x,ran1,ran1,ran3,station,timestamp
44.1642,28.647,0,0.1,84,5,1554806762
44.4112,37.8251,0.6,25.7,70,2,1554806875
40.8855,29.1925,0.1,75.7,0,15,1554805868
40.759,29.0171,2,263.7,89,0,1554806858
44.1478,28.6586,0,285.6,89,5,1554806856
46.4904,30.7466,0,292.1,52,5,1554806928
43.8455,28.8924,12.8,10.4,79,0,1554806920
40.7024,29.4658,0,103.9,0,0,1554806919
46.4924,30.7377,0,354.2,53,15,1554806221
44.4391,37.5848,0.6,306.5,70,0,1554806906
40.7657,29.4211,0.1,49.3,0,15,1554806836
44.0727,39.041,0,132.6,80,1,1554806905
44.1602,28.6582,0,276.9,52,15,1554806919
44.7305,37.7835,0,305.8,50,15,1554806802
46.4905,30.7447,0,331.0,31,15,1554806678
40.8453,29.2907,0,101.8,0,15,1554806174
44.1696,28.6585,0,0.0,130,14,1554806896
44.1173,28.6436,0,0.0,79,8,1554806924
40.8358,29.2793,0,0.0,90,15,1554806863
44.117,28.6464,0,0.0,79,5,1554806766
43.1947,27.6886,8.4,258.4,70,0,1554806565
40.8537,29.2889,0,0.0,80,15,1554806647
44.1686,28.6575,0,70.3,0,15,1554806936
44.73,37.7824,0,73.7,80,5,1554806701
43.1909,27.9208,0,325.5,50,15,1554806694
46.4925,30.7377,0,338.9,53,15,1554806071
46.3569,31.0336,0,20.0,70,1,1554806641
44.0336,39.1093,0.1,71.9,70,1,1554806847
44.6206,37.7071,10.3,128.8,50,15,1554806809
44.1463,28.6592,0,106.0,80,0,1554806915
40.8434,29.2718,0,71.0,0,5,1554806276
44.1612,28.6559,0,206.5,99,0,1554806880
44.1188,28.6484,4.9,188.3,79,2,1554806867
44.399,38.1773,2.1,113.8,30,7,1554806916
46.1792,30.7634,14,178.7,60,0,1554806491
44.5531,37.5669,0.3,179.0,89,0,1554806917
40.8542,29.2881,0,0.0,30,15,1554806586
44.7093,37.8391,0,258.8,89,5,1554806824
44.7302,37.8054,0,41.5,52,15,1554806913
44.3424,28.6841,0,0.0,70,5,1554806122
44.3927,38.2034,3.2,280.3,30,5,1554805965
43.1887,27.7532,0,309.4,90,5,1554806881
44.3357,28.6762,0,194.3,99,0,1554806915
44.5853,37.9256,0.1,54.0,80,1,1554806826
44.0967,39.0543,0,0.0,53,15,1554806464
40.9539,28.9046,0.2,313.4,70,1,1554806242
44.1596,28.6602,0,24.9,52,0,1554806903
40.8369,29.2798,0,218.0,0,5,1554806154
44.1497,28.6663,0,187.2,80,8,1554806887
40.8356,29.2674,0,0.0,50,15,1554806663
44.0932,39.0596,0,55.5,70,5,1554806847
40.8483,29.2882,0,25.9,0,5,1554806926
44.0915,39.0723,0,192.7,70,5,1554806660
40.7635,29.5333,0,78.5,0,5,1554806658
44.1595,28.6599,0,204.5,52,15,1554806860
43.2074,27.9938,0.1,32.4,70,1,1554806768
43.1988,27.8918,0,280.4,70,0,1554806855
43.2013,27.7979,0,130.7,70,5,1554806636
40.8541,29.2878,0,0.0,0,15,1554806899
40.8876,29.1391,0,0.0,74,0,1554806904
44.7162,37.8298,0,144.7,90,5,1554806695
46.4942,30.7437,0,152.4,33,5,1554806671
44.6714,37.8012,0,345.5,0,15,1554806896
44.6934,37.8066,0,123.0,53,1,1554806903
46.4942,30.7441,0,0.0,70,5,1554806926
46.4952,30.7414,0,97.1,70,0,1554806880
46.5061,30.73,0,257.9,70,5,1554806895
44.0932,39.0677,0,360.0,31,5,1554806602
40.8524,29.2855,0.1,154.4,0,5,1554806536
44.7453,37.7104,0,0.0,90,0,1554806893
40.8716,29.2371,0,0.0,37,15,1554806920
46.4795,30.8697,0.1,300.3,70,1,1554806956
44.1678,28.6551,0,102.3,33,0,1554806918
40.7364,29.4823,0.1,128.0,0,1,1554806914
44.7305,37.782,0,360.0,52,5,1554806883
46.4981,30.8689,0.1,151.4,70,1,1554806938
44.6494,37.9074,0.2,305.6,70,1,1554806885
44.4476,37.4987,11.9,243.4,89,0,1554806931
43.193,27.8631,0,360.0,34,15,1554806857
44.7287,37.7901,0,174.9,70,5,1554806592
44.7193,37.8078,0.8,76.2,90,0,1554806894
44.106,28.6653,0,345.8,70,5,1554806863
40.662,29.28,10.5,0.1,0,15,1554806916
44.7314,37.7903,0,350.4,70,5,1554806869
40.8645,29.2458,7,150.1,0,0,1554806910
40.8526,29.1863,10.1,328.0,30,15,1554805872
44.0934,39.0674,0,312.2,52,5,1554806944
44.1238,28.646,0.1,358.3,79,0,1554806938
44.5904,37.9313,0.1,85.3,70,1,1554806659
44.7334,37.799,0,0.0,80,0,1554806909
44.6011,37.9213,0,98.0,89,1,1554806928
46.4862,30.7522,0.5,83.2,70,5,1554806583
46.4117,30.9247,11.1,178.4,70,0,1554806905
44.7049,37.8317,3.8,54.0,89,0,1554806923
44.3898,37.5303,9.5,118.0,89,0,1554806921
44.4709,37.9257,0.3,360.0,80,0,1554806918
40.8522,29.2857,0,321.0,0,5,1554805697
44.1542,28.6696,0,0.0,0,0,1554806911
40.8452,29.2904,0,0.0,31,15,1554806285
40.8391,29.2717,0,0.0,0,5,1554806310
40.8402,29.2759,1.3,290.4,53,15,1554806872
44.1539,28.6698,0,13.1,0,0,1554806935
44.7222,37.8154,0,174.9,52,0,1554806940
44.1596,28.6598,0,293.8,90,5,1554806791
46.4864,30.7538,1.9,158.2,52,15,1554806790
46.3133,30.668,0,195.0,70,5,1554806881
44.7205,37.826,0,156.3,70,5,1554806825
40.8835,29.1893,0.1,122.9,0,1,1554806139
44.1702,28.8084,0.2,253.5,81,1,1554806670
43.1158,28.2841,0.1,32.0,70,1,1554806845
40.8558,29.2678,0.3,36.0,0,15,1554806903
40.9712,28.9002,0,131.3,0,1,1554806192
44.73,37.7827,0,174.3,80,5,1554806737
44.0435,39.0987,0.1,88.0,89,1,1554806904
44.5617,38.076,0,0.0,60,0,1554806496
43.1945,27.9075,0,0.0,52,15,1554806847
44.1766,28.6622,0,0.0,60,15,1554806847
40.8869,29.1876,0,329.1,0,15,1554806601
44.2619,28.1823,5.6,275.4,99,0,1554806941
44.7214,37.8252,0,273.9,52,15,1554806605
44.6886,37.8121,0.1,22.7,50,1,1554806759
43.0887,27.9556,0,124.0,89,1,1554806835
46.4931,30.7368,0,0.0,52,15,1554806940
44.3417,28.6815,0,360.0,50,0,1554806908
44.5633,37.9599,0,348.2,79,1,1554806656
44.73,37.8052,0,0.0,52,15,1554806886
44.5766,37.863,2.4,82.5,80,0,1554806936
40.7121,29.4662,0,74.0,0,5,1554806545
44.1332,28.651,0.1,184.8,70,6,1554806908
43.1951,27.912,0,144.8,70,5,1554806883
44.7273,37.7818,0,311.9,80,5,1554806124
44.6712,37.8013,0,360.0,0,5,1554806875
44.121,28.6502,0,172.1,89,0,1554806892
44.4014,37.5682,0.9,324.0,89,0,1554806913
40.8547,29.2822,0,30.1,53,15,1554805801
40.8406,29.2769,0.7,286.1,53,15,1554806816
46.238,30.7185,0,356.2,70,1,1554806332
40.8364,29.2659,0,0.0,90,15,1554806811
40.8675,29.1717,0.1,26.0,79,1,1554806852
44.3751,37.8564,6,356.1,71,0,1554806925
44.1965,36.9266,12.3,63.5,0,0,1554806786
44.1555,28.652,0,64.9,79,0,1554806918
40.8535,29.2872,0,0.0,0,15,1554806687
46.5082,30.7763,0,316.8,52,15,1554806869
44.8033,29.8552,9.6,356.6,0,0,1554806826
40.7356,29.4448,12.5,67.7,74,0,1554806624
44.6914,37.7967,0,360.0,37,15,1554806770
44.6923,37.8108,0,279.0,99,1,1554806810
40.8404,29.2822,0.1,53.4,0,5,1554806118
44.7189,37.808,1023,360.0,90,5,1554806827
40.8865,29.1869,0,0.0,0,15,1554806687
44.7305,37.7815,0.1,27.3,53,15,1554806904
43.1844,27.918,6.3,83.4,76,0,1554806932
43.022,27.9964,13,4.5,71,0,1554806927
40.8849,29.1931,5.7,323.0,53,15,1554806834
40.7761,29.0614,9.6,285.3,84,0,1554806634
44.629,37.6449,0.1,211.9,52,0,1554806999
44.2971,28.0582,5.6,323.5,0,0,1554806631
44.166,28.7842,0,56.3,70,1,1554806790
44.0966,28.6486,0.1,59.1,0,5,1554806517
44.129,28.6482,0,0.0,79,1,1554806711
44.4872,37.6109,0.3,245.2,80,0,1554806896
44.594,37.9212,0.1,192.4,70,1,1554806889
44.1702,28.6527,0,117.0,90,3,1554806880
44.0967,39.0547,1,0.0,52,1,1554804130
44.4586,37.4797,11.4,245.0,89,0,1554806903
40.8118,29.2973,0,0.0,105,15,1554806945
40.8507,29.2712,0,0.0,114,15,1554806757
44.7217,37.7786,0,94.3,50,0,1554806917
40.8527,29.2602,0,0.0,128,15,1554806791
40.8349,29.2158,0,283.0,0,1,1554806596
46.4865,30.7565,0.1,328.1,70,5,1554806901
44.7188,37.832,0,342.9,52,0,1554806893
44.7067,37.8429,0,23.0,90,8,1554806913
44.5824,37.947,0.1,65.8,70,1,1554806493
44.1288,28.6473,0,0.0,70,5,1554806893
44.7302,37.7834,0,245.0,50,15,1554805689
40.8825,29.2039,0,0.0,0,1,1554806243
44.7238,37.7752,0.2,352.5,37,15,1554806767
40.9693,28.942,0.1,12.0,0,1,1554806222
44.5996,37.8925,0,95.3,80,1,1554806903
44.1541,28.6697,0,0.0,52,15,1554806905
44.1595,28.6604,0,254.0,52,0,1554806891
43.184,27.9002,0.1,237.0,90,5,1554806606
40.8481,29.2881,0,310.6,0,0,1554806697
44.1151,28.6426,0,193.3,79,0,1554806934
40.8855,29.1866,0.1,143.7,0,15,1554806482
40.8127,29.2965,0,0.0,90,15,1554806647
43.1988,27.9143,0,193.1,90,5,1554806825
40.8419,29.2692,0,344.0,0,5,1554805977
44.7186,37.7867,0,300.6,0,0,1554806935
44.1701,28.6527,0,196.8,33,0,1554806909
44.6989,37.8063,0,320.0,80,0,1554806918
46.5633,31.079,0,349.0,79,1,1554806844
44.1485,28.6498,0,360.0,79,5,1554806937
40.8519,29.2882,2.3,53.4,53,15,1554806918
44.731,37.7822,0,237.8,52,5,1554806734
44.0967,28.6482,0,9.2,90,5,1554806922
46.4951,30.7437,0,328.6,52,0,1554806893
46.4936,30.737,0,332.2,80,15,1554806853
46.2562,30.7257,0,333.0,70,1,1554806846
40.8701,29.2361,0,360.0,36,15,1554806600
44.3376,28.6763,0,50.5,52,15,1554806848
44.1156,28.6779,0,191.1,70,0,1554806938
40.8854,29.1917,0,0.0,0,15,1554806907
40.8483,29.2715,0,37.8,52,15,1554806379
44.7292,37.7958,0,64.1,70,5,1554806843
40.8154,29.3191,0,360.0,0,15,1554806570
40.8528,29.2884,0,0.0,70,15,1554806470
40.8359,29.2677,0,59.7,50,15,1554806707
44.6664,37.8959,0.2,298.3,80,5,1554806789
44.12,28.6447,0,360.0,52,8,1554806887
43.8054,28.5795,0,0.0,130,14,1554806921
43.1926,27.8982,0,309.9,70,5,1554806883
44.7215,37.8251,0,75.0,52,5,1554806769
46.4578,30.8713,0,3.0,79,1,1554806913
44.1,28.655,0.1,222.0,79,5,1554806804
44.7259,37.7763,0,360.0,0,5,1554806772
44.097,39.0555,0,165.0,52,0,1554806908
43.1897,27.6576,0,287.5,70,5,1554806929
44.1009,28.6662,3.3,203.4,20,2,1554806892
44.101,28.6657,0.4,268.9,90,0,1554806945
44.5639,37.9293,0.1,319.7,70,1,1554806772
44.1727,28.6646,0,0.0,0,14,1554806930
44.7189,37.7874,0,137.9,50,0,1554806915
46.4914,30.7587,0,0.0,50,15,1554806935
44.597,37.963,0,0.0,130,14,1554806920
44.7223,37.8181,0,360.0,79,5,1554806811
44.697,37.8123,0.1,17.3,80,1,1554806839
40.8446,29.2893,0,105.0,60,15,1554806887
46.5513,30.9719,7.1,248.7,52,0,1554806913
43.1999,27.7809,0,277.1,3,5,1554806929
44.2663,28.5754,6.3,251.8,89,0,1554806927
40.8148,29.3159,0,360.0,0,15,1554806594
40.8152,29.2877,0,323.9,0,0,1554806930
44.0932,39.0676,0,360.0,31,5,1554806645
44.3236,28.6279,0,212.3,81,5,1554806869
44.7302,37.7806,0.1,340.1,140,0,1554806757
44.1191,28.6444,0,360.0,77,15,1554806927
43.1862,27.9011,0,157.0,70,5,1554806873
44.691,37.7966,0,194.7,36,15,1554806907
46.2135,30.7414,0,122.0,79,1,1554806916
40.8337,29.2797,0,0.0,0,15,1554806305
40.7009,29.4545,0,306.0,0,5,1554805870
44.3381,28.6764,0,0.0,52,8,1554806935
44.1597,28.6477,0,278.2,70,5,1554806926
40.8481,29.2907,0,252.9,53,15,1554806337
43.1903,27.9033,0,321.8,70,5,1554806935
40.8519,29.2884,0,223.0,53,15,1554806638
44.7301,37.7835,0,38.0,52,0,1554806881
44.0948,39.0617,0,257.0,70,5,1554806865
40.8149,29.3172,0,360.0,37,15,1554806685
44.092,39.0777,0,0.0,50,15,1554806896
44.0211,28.9452,0,42.8,70,2,1554806804
44.207,30.3379,8.1,16.6,0,0,1554806716
44.1503,28.6492,0,112.1,70,5,1554806997
44.6044,37.9037,0.2,128.3,89,1,1554806918
44.7333,37.7887,0,77.4,79,5,1554806923
40.8505,29.288,0,289.0,0,5,1554806415
44.0798,39.0389,0,325.6,80,1,1554806935
44.156,28.6478,0,72.6,70,5,1554806863
44.5456,29.4459,0.1,251.9,52,1,1554806821
44.8822,29.8674,9.1,359.8,0,0,1554805711
46.3261,30.7355,3.9,64.0,52,0,1554806926
44.7309,37.7943,0.1,67.8,70,5,1554806939
44.7214,37.8143,0,231.4,52,0,1554806933
44.6711,37.8028,0,149.5,53,15,1554806898
40.7675,29.0444,0.4,184.9,0,0,1554806922
43.1956,27.9632,0,159.1,70,1,1554806923
44.1528,28.6713,0,0.0,50,0,1554806945
40.8479,29.2712,0,21.9,50,15,1554806264
40.8481,29.2715,0,357.2,31,15,1554806861
44.0966,39.0547,0,360.0,52,0,1554806925
44.6853,37.8125,0.1,0.0,80,1,1554806811
44.1608,28.6564,0,360.0,30,5,1554806553
44.0845,39.0708,0.6,39.4,52,0,1554806910
40.8403,29.2189,0,168.1,80,15,1554806406
44.1399,31.0964,11.3,14.3,70,0,1554806923
40.8386,29.2821,0.1,175.1,0,5,1554806085
44.1048,28.655,0,148.7,70,5,1554806873
46.4896,30.7556,0,342.0,72,5,1554806913
40.8731,29.2417,0,216.5,70,15,1554806907
44.1481,28.7363,0.3,136.8,70,1,1554806855
43.7068,28.5771,0,0.0,130,14,1554806895
43.1678,27.9429,0,0.0,130,14,1554806920
46.4934,30.7371,0,15.2,52,0,1554806919
40.8135,29.3169,0,118.0,37,15,1554806602
43.3615,28.4658,0,0.0,130,14,1554806930
42.8543,27.9024,0,0.0,130,14,1554806920
44.1538,28.6691,0,335.4,52,15,1554806860
44.1255,28.6506,6.1,17.5,52,1,1554806885
44.1598,28.6594,0,240.7,52,0,1554806941
44.1008,28.6518,0,77.3,52,0,1554806881
44.1001,28.6578,0,311.9,52,0,1554806940
44.1604,28.6587,0,304.3,52,5,1554806693
44.3342,28.6779,1,20.6,50,15,1554806906
44.1014,28.6852,0.7,249.2,50,0,1554806933
44.154,28.6697,0,311.5,52,5,1554806771
40.8411,29.2708,0,80.1,0,5,1554806717
44.7322,37.7852,0,360.0,52,0,1554806918
44.7217,37.8151,0,37.8,52,15,1554806904
40.8518,29.2881,0,57.1,53,15,1554806484
46.4907,30.7437,0,333.0,52,5,1554806862
44.1576,28.6537,0,0.0,70,5,1554806897
44.5643,37.949,0.1,60.3,70,1,1554806820
46.5476,30.8196,0,222.4,36,15,1554806871
43.1992,27.8914,0,0.0,31,15,1554806835
